playerId,Name,seasonId,teamAbbrev,goals,assists,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,shorthandedGoals,shorthandedPoints,pim,toi,games,ppg,gpg,apg,spg,positionCode,team_points,team_wins,std_ppg
8481560,Arthur Kaliyev,20212022,LAK,14,13,27,-3,6,9,2,0,194,1355,0,0,37,12.649166666666666,80,0.3375,0.175,0.1625,2.425,RW,99,44,0.047429618745376524
8471218,Blake Wheeler,20082009,BOS,21,24,45,36,3,5,3,0,150,1460,2,3,46,13.691358024691358,81,0.5555555555555556,0.25925925925925924,0.2962962962962963,1.8518518518518519,RW,116,53,0.038616169609799626
8477846,Ryan Carpenter,20172018,VGK,9,5,14,0,0,0,2,0,65,600,1,1,9,13.135648148148148,36,0.3888888888888889,0.25,0.1388888888888889,1.8055555555555556,C,109,51,0.034906447167735416
8478856,Conor Garland,20182019,ARI,13,5,18,1,4,6,2,0,118,810,0,0,12,12.790070921985816,47,0.3829787234042553,0.2765957446808511,0.10638297872340426,2.5106382978723403,RW,86,39,0.027618841209380327
8478449,Roope Hintz,20182019,DAL,9,13,22,-11,3,6,3,1,99,1270,0,0,24,14.056321839080459,58,0.3793103448275862,0.15517241379310345,0.22413793103448276,1.706896551724138,C,93,43,0.0059203827373557685
8473994,Jamie Benn,20092010,DAL,22,19,41,-1,2,7,3,0,182,1716,0,0,45,14.704065040650407,82,0.5,0.2682926829268293,0.23170731707317074,2.2195121951219514,LW,88,37,-0.0013857214073744169
8476329,Travis Boyd,20182019,WSH,5,15,20,6,0,2,1,0,35,695,0,0,6,9.828301886792453,53,0.37735849056603776,0.09433962264150944,0.2830188679245283,0.660377358490566,C,104,48,-0.005624834789268292
8476858,Phillip Di,20152016,CAR,7,10,17,0,0,0,1,1,68,789,0,0,18,14.266260162601625,41,0.4146341463414634,0.17073170731707318,0.24390243902439024,1.6585365853658536,LW,86,35,-0.00899309307521181
8480015,Owen Tippett,20202021,FLA,7,11,18,-5,2,3,2,0,86,683,0,0,6,11.48111111111111,45,0.4,0.15555555555555556,0.24444444444444444,1.9111111111111112,RW,79,37,-0.012034325097046635
8476871,Tanner Pearson,20142015,LAK,12,4,16,14,1,1,3,0,68,753,0,0,14,13.292063492063491,42,0.38095238095238093,0.2857142857142857,0.09523809523809523,1.619047619047619,LW,95,40,-0.01413944094615887
